"","ikey","Location","Source","Chronological.Frame","Language"
"212","PH279339","Chalcedon","IK Kalchedon 109,5","---","Greek"
"213","PH279340","Chalcedon","IK Kalchedon 109,6","---","Greek"
"214","PH279341","Chalcedon","IK Kalchedon 109,7","---","Greek"
"215","PH279342","Chalcedon","IK Kalchedon 109,8","---","Greek"
"216","PH279237","Chalcedon","IK Kalchedon 11","---","Greek"
"217","PH279343","Chalcedon","IK Kalchedon 110,1","---","Greek"
"218","PH279344","Chalcedon","IK Kalchedon 110,2","---","Greek"
"219","PH279345","Chalcedon","IK Kalchedon 110,3","---","Greek"
"220","PH279346","Chalcedon","IK Kalchedon 110,4","---","Greek"
"221","PH279347","Chalcedon","IK Kalchedon 110,5","---","Greek"
"222","PH279348","Chalcedon","IK Kalchedon 110,6","---","Greek"
"223","PH279349","Chalcedon","IK Kalchedon 111","---","Greek"
"224","PH279350","Chalcedon","IK Kalchedon 112","---","Greek"
"225","PH279351","Chalcedon","IK Kalchedon 114","---","Greek"
"226","PH279353","Chalcedon","IK Kalchedon 116","---","Greek"
"227","PH279354","Chalcedon","IK Kalchedon 117","---","Greek"
"228","PH279355","Chalcedon","IK Kalchedon 118","---","Greek"
"229","PH279356","Chalcedon","IK Kalchedon 119","---","Greek"
"230","PH279357","Chalcedon","IK Kalchedon 120","---","Greek"
"231","PH279359","Chalcedon","IK Kalchedon 122","---","Greek"
"232","PH279360","Chalcedon","IK Kalchedon 123","---","Greek"
"233","PH279361","Chalcedon","IK Kalchedon 124","---","Greek"
"234","PH279362","Chalcedon","IK Kalchedon 125","---","Greek"
"235","PH279243","Chalcedon","IK Kalchedon 17","---","Greek"
"236","PH279252","Chalcedon","IK Kalchedon 23","---","Greek"
"237","PH279253","Chalcedon","IK Kalchedon 24","---","Greek"
"238","PH279254","Chalcedon","IK Kalchedon 25","---","Greek"
"239","PH279255","Chalcedon","IK Kalchedon 26","---","Greek"
"240","PH279258","Chalcedon","IK Kalchedon 32","---","Greek"
"241","PH279259","Chalcedon","IK Kalchedon 33","---","Greek"
"242","PH279260","Chalcedon","IK Kalchedon 34","---","Greek"
"243","PH279230","Chalcedon","IK Kalchedon 4","---","Greek"
"244","PH279268","Chalcedon","IK Kalchedon 42","---","Greek"
"245","PH279269","Chalcedon","IK Kalchedon 43","---","Greek"
"246","PH279271","Chalcedon","IK Kalchedon 45","---","Greek"
"247","PH279272","Chalcedon","IK Kalchedon 46","---","Greek"
"248","PH279277","Chalcedon","IK Kalchedon 51","---","Greek"
"249","PH279278","Chalcedon","IK Kalchedon 52","---","Greek"
"250","PH279279","Chalcedon","IK Kalchedon 53","---","Greek"
"251","PH279285","Chalcedon","IK Kalchedon 59","---","Greek"
"252","PH279286","Chalcedon","IK Kalchedon 60","---","Greek"
"253","PH279287","Chalcedon","IK Kalchedon 61","---","Greek"
"254","PH279288","Chalcedon","IK Kalchedon 62","---","Greek"
"255","PH279289","Chalcedon","IK Kalchedon 63","---","Greek"
"256","PH279290","Chalcedon","IK Kalchedon 64","---","Greek"
"257","PH279291","Chalcedon","IK Kalchedon 65","---","Greek"
"258","PH279292","Chalcedon","IK Kalchedon 66","---","Greek"
